date,baa,aaa,baa10y
1919-01-31,7.12,5.35,
1919-02-28,7.2,5.35,
1919-03-31,7.15,5.39,
1919-04-30,7.23,5.44,
1919-05-31,7.09,5.39,
1919-06-30,7.04,5.4,
1919-07-31,7.06,5.44,
1919-08-31,7.13,5.56,
1919-09-30,7.27,5.6,
1919-10-31,7.34,5.54,
1919-11-30,7.54,5.66,
1919-12-31,7.77,5.73,
1920-01-31,7.78,5.75,
1920-02-29,7.94,5.86,
1920-03-31,7.97,5.92,
1920-04-30,8.17,6.04,
1920-05-31,8.39,6.25,
1920-06-30,8.39,6.38,
1920-07-31,8.52,6.34,
1920-08-31,8.39,6.3,
1920-09-30,8.14,6.22,
1920-10-31,7.99,6.05,
1920-11-30,8.21,6.08,
1920-12-31,8.56,6.26,
1921-01-31,8.5,6.14,
1921-02-28,8.42,6.08,
1921-03-31,8.55,6.08,
1921-04-30,8.53,6.06,
1921-05-31,8.52,6.11,
1921-06-30,8.56,6.18,
1921-07-31,8.48,6.12,
1921-08-31,8.51,5.99,
1921-09-30,8.34,5.93,
1921-10-31,8.34,5.84,
1921-11-30,7.88,5.6,
1921-12-31,7.61,5.5,
1922-01-31,7.7,5.34,
1922-02-28,7.55,5.29,
1922-03-31,7.45,5.23,
1922-04-30,7.14,5.15,
1922-05-31,6.89,5.13,
1922-06-30,6.97,5.08,
1922-07-31,6.89,5.0,
1922-08-31,6.85,4.96,
1922-09-30,6.75,4.93,
1922-10-31,6.78,4.97,
1922-11-30,6.98,5.09,
1922-12-31,7.02,5.08,
1923-01-31,6.98,5.04,
1923-02-28,6.97,5.07,
1923-03-31,7.09,5.13,
1923-04-30,7.17,5.22,
1923-05-31,7.17,5.16,
1923-06-30,7.21,5.15,
1923-07-31,7.34,5.14,
1923-08-31,7.38,5.08,
1923-09-30,7.38,5.12,
1923-10-31,7.46,5.11,
1923-11-30,7.4,5.09,
1923-12-31,7.38,5.09,
1924-01-31,7.24,5.09,
1924-02-29,7.14,5.09,
1924-03-31,7.08,5.1,
1924-04-30,7.03,5.08,
1924-05-31,6.97,5.04,
1924-06-30,6.82,4.99,
1924-07-31,6.67,4.95,
1924-08-31,6.69,4.95,
1924-09-30,6.73,4.95,
1924-10-31,6.62,4.92,
1924-11-30,6.54,4.94,
1924-12-31,6.46,4.95,
1925-01-31,6.44,4.95,
