date,vix,sp500
1990-01-31,25.36,
1990-02-28,21.99,
1990-03-31,19.73,
1990-04-30,19.52,
1990-05-31,17.37,
1990-06-30,15.5,
1990-07-31,21.11,
1990-08-31,29.9,
1990-09-30,29.11,
1990-10-31,30.04,
1990-11-30,22.16,
1990-12-31,26.38,
1991-01-31,20.91,
1991-02-28,21.23,
1991-03-31,16.88,
1991-04-30,18.24,
1991-05-31,15.93,
1991-06-30,19.55,
1991-07-31,15.18,
1991-08-31,14.46,
1991-09-30,15.85,
1991-10-31,15.48,
1991-11-30,20.26,
1991-12-31,19.31,
1992-01-31,17.4,
1992-02-29,16.68,
1992-03-31,16.18,
1992-04-30,15.53,
1992-05-31,13.86,
1992-06-30,13.35,
1992-07-31,13.17,
1992-08-31,13.58,
1992-09-30,14.28,
1992-10-31,16.15,
1992-11-30,13.01,
1992-12-31,12.57,
1993-01-31,12.42,
1993-02-28,13.16,
1993-03-31,12.53,
1993-04-30,12.42,
1993-05-31,13.47,
1993-06-30,11.26,
1993-07-31,11.73,
1993-08-31,11.85,
1993-09-30,12.99,
1993-10-31,11.46,
1993-11-30,13.76,
1993-12-31,11.66,
1994-01-31,10.63,
1994-02-28,14.87,
1994-03-31,20.45,
1994-04-30,13.77,
1994-05-31,13.03,
1994-06-30,14.97,
1994-07-31,11.13,
1994-08-31,11.97,
1994-09-30,14.28,
1994-10-31,14.56,
1994-11-30,15.95,
1994-12-31,13.2,
1995-01-31,11.96,
1995-02-28,11.75,
1995-03-31,13.37,
1995-04-30,11.75,
1995-05-31,12.85,
1995-06-30,11.38,
1995-07-31,13.49,
1995-08-31,11.52,
1995-09-30,12.74,
1995-10-31,13.83,
1995-11-30,11.58,
1995-12-31,12.52,
1996-01-31,12.53,
1996-02-29,17.04,
1996-03-31,18.88,
1996-04-30,15.83,
1996-05-31,16.07,
1996-06-30,13.68,
1996-07-31,19.46,
1996-08-31,17.01,
1996-09-30,16.95,
1996-10-31,18.11,
1996-11-30,17.14,
1996-12-31,20.92,
1997-01-31,19.47,
1997-02-28,21.1,
