maturity,model,mse,rmse,n
y1,random_walk,0.04348888888888886,0.20853989759489397,18.0
y2,random_walk,0.06401666666666664,0.2530151510614861,18.0
y5,random_walk,0.0625388888888889,0.25007776568277496,18.0
y10,random_walk,0.0459944444444445,0.2144631540485323,18.0
y20,random_walk,0.03802222222222221,0.1949928773627955,18.0
y30,random_walk,0.03579999999999998,0.18920887928424496,18.0
y1,linear_reg,2.2888497162409203,1.5128944828509754,
y2,linear_reg,2.8508604442782173,1.6884491239827801,
y5,linear_reg,1.3604731965141592,1.1663932426562489,
y10,linear_reg,0.051895475789736106,0.22780578524202608,
y20,linear_reg,0.017541527158283124,0.132444430453995,
y30,linear_reg,0.37709788948706635,0.6140829662896263,
