regime,model,maturity,mse
Pre-COVID,Random Walk,y1,0.017740000000000006
Pre-COVID,Random Walk,y2,0.026424
Pre-COVID,Random Walk,y5,0.03701599999999999
Pre-COVID,Random Walk,y10,0.03927
Pre-COVID,Random Walk,y20,0.03749599999999998
Pre-COVID,Random Walk,y30,0.03398399999999999
Pre-COVID,Train Mean,y1,0.5713001810774108
Pre-COVID,Train Mean,y2,0.47990756043458577
Pre-COVID,Train Mean,y5,0.3370018868266184
Pre-COVID,Train Mean,y10,0.24917779990946126
Pre-COVID,Train Mean,y20,0.1864496609325486
Pre-COVID,Train Mean,y30,0.14288692621095522
Pre-COVID,Linear Reg,y1,0.016168914460655607
Pre-COVID,Linear Reg,y2,0.02108956640591001
Pre-COVID,Linear Reg,y5,0.014304523309654529
Pre-COVID,Linear Reg,y10,0.00822581545931678
Pre-COVID,Linear Reg,y20,0.007346578303387819
Pre-COVID,Linear Reg,y30,0.007290009636174731
COVID Shock,Random Walk,y1,0.16007499999999997
COVID Shock,Random Walk,y2,0.09985000000000001
COVID Shock,Random Walk,y5,0.06855
COVID Shock,Random Walk,y10,0.04717499999999998
COVID Shock,Random Walk,y20,0.030749999999999993
COVID Shock,Random Walk,y30,0.027949999999999968
COVID Shock,Train Mean,y1,2.57741613852422
COVID Shock,Train Mean,y2,2.6433956880941594
COVID Shock,Train Mean,y5,2.7787913761883205
COVID Shock,Train Mean,y10,2.548447906292439
COVID Shock,Train Mean,y20,2.136625022634676
COVID Shock,Train Mean,y30,1.80546064961521
COVID Shock,Linear Reg,y1,0.03073412777376796
COVID Shock,Linear Reg,y2,0.04195457020300693
COVID Shock,Linear Reg,y5,0.018277540198999194
COVID Shock,Linear Reg,y10,0.0012370181346217427
COVID Shock,Linear Reg,y20,0.0023275554648066713
COVID Shock,Linear Reg,y30,0.010704872655593188
QE-ZeroRate,Random Walk,y1,0.002172222222222223
QE-ZeroRate,Random Walk,y2,0.006383333333333331
QE-ZeroRate,Random Walk,y5,0.016805555555555556
QE-ZeroRate,Random Walk,y10,0.02602222222222222
QE-ZeroRate,Random Walk,y20,0.03195555555555555
QE-ZeroRate,Random Walk,y30,0.029972222222222226
QE-ZeroRate,Train Mean,y1,2.7374396609828486
QE-ZeroRate,Train Mean,y2,2.528542614808108
QE-ZeroRate,Train Mean,y5,1.7981062698053418
QE-ZeroRate,Train Mean,y10,1.1893940646848744
QE-ZeroRate,Train Mean,y20,0.8519296325637541
QE-ZeroRate,Train Mean,y30,0.8005589356672197
QE-ZeroRate,Linear Reg,y1,0.030715489935795086
QE-ZeroRate,Linear Reg,y2,0.041906559171580884
QE-ZeroRate,Linear Reg,y5,0.022891905949968316
QE-ZeroRate,Linear Reg,y10,0.0067680885120250485
QE-ZeroRate,Linear Reg,y20,0.0077392457666266845
QE-ZeroRate,Linear Reg,y30,0.010123867156739276
Inflation Surge,Random Walk,y1,0.15521666666666667
Inflation Surge,Random Walk,y2,0.20309999999999995
Inflation Surge,Random Walk,y5,0.17970555555555545
Inflation Surge,Random Walk,y10,0.12721666666666664
Inflation Surge,Random Walk,y20,0.09202222222222223
Inflation Surge,Random Walk,y30,0.0801055555555556
Inflation Surge,Train Mean,y1,5.536588124339821
Inflation Surge,Train Mean,y2,4.12744568809416
Inflation Surge,Train Mean,y5,2.319447995573663
Inflation Surge,Train Mean,y10,1.3721604949449229
Inflation Surge,Train Mean,y20,1.3024083559680097
Inflation Surge,Train Mean,y30,0.8139735928776223
Inflation Surge,Linear Reg,y1,0.04301805161610523
Inflation Surge,Linear Reg,y2,0.0805899559285043
Inflation Surge,Linear Reg,y5,0.04491815077297836
Inflation Surge,Linear Reg,y10,0.022024902331509093
Inflation Surge,Linear Reg,y20,0.014603229998479192
Inflation Surge,Linear Reg,y30,0.01402820997810274
High-Rate,Random Walk,y1,0.0406535714285714
High-Rate,Random Walk,y2,0.06772857142857143
High-Rate,Random Walk,y5,0.07810714285714285
High-Rate,Random Walk,y10,0.07230357142857147
High-Rate,Random Walk,y20,0.06674999999999999
High-Rate,Random Walk,y30,0.06637857142857141
High-Rate,Train Mean,y1,8.018857019983185
High-Rate,Train Mean,y2,6.225451311194466
High-Rate,Train Mean,y5,4.497236816917803
High-Rate,Train Mean,y10,4.068508012675421
High-Rate,Train Mean,y20,4.166486572786653
High-Rate,Train Mean,y30,3.46266216937205
High-Rate,Linear Reg,y1,0.4780178329974477
High-Rate,Linear Reg,y2,0.7352294259034174
High-Rate,Linear Reg,y5,0.38166205625053323
High-Rate,Linear Reg,y10,0.010911688156125988
High-Rate,Linear Reg,y20,0.08243903117493842
High-Rate,Linear Reg,y30,0.3548111534731414
